İlçe,ÇöpTon,İlçe Nüfusu,KişiBaşınaÇöp_ton,MinDistancetoFacility,LATITUDE,LONGTITUDE
Adalar,11544.45,16372,0.7051337649645737,5.205,40.8763772,29.095444
Arnavutköy,106291.08,312023,0.34065142633716106,3.332,41.2,28.733333
Ataşehi̇r,171078.17,427217,0.40044794565759323,3.005,40.9833333,29.1166667
Avcilar,142170.27,457981,0.31042831471174565,4.863,41.0153479,28.7314618
Bahçeli̇evler,199120.09,605300,0.3289609945481579,1.963,40.9975,28.8505556
Bağcilar,269117.0,744351,0.3615458298571507,3.417,41.0455556,28.8405556
Bakirköy,99997.74,228759,0.4371313915518078,3.98,40.968155,28.8228
Başakşehi̇r,224632.88,503243,0.4463706002865415,4.905,41.077895,28.812551
Bayrampaşa,118431.35,274884,0.43084119119337616,2.198,41.0481503,28.9004553
Beşi̇ktaş,105959.374,178938,0.5921569146855336,10.489,41.068616,29.0285355
Beykoz,140173.69,248595,0.5638636738470203,3.419,41.132719,29.10569
Beyli̇kdüzü,132878.23,398122,0.33376259036174843,7.761,40.9910381,28.6498144
Beyoğlu,123942.8,233322,0.5312092301626079,2.28,41.0382864,28.9703304
Büyükçekmece,115413.28,269160,0.42879060781691186,4.002,41.034133,28.590003
Çatalca,37403.97,76131,0.49131063561492694,5.045,41.148239,28.46773
Çekmeköy,101994.16,288585,0.35342848727411336,2.45,41.104235,29.3177272
Esenler,136915.47,447116,0.3062191243435708,4.043,41.0794133,28.8538545
Esenyurt,396339.29,977489,0.40546675205552185,4.157,41.0342806,28.6801194
Eyüp,153774.75,417360,0.36844630534790107,2.084,41.1871598,28.8829816
Fati̇h,215333.72,382990,0.5622437139350897,1.52,41.0166667,28.9333333
Gazi̇osmanpaşa,155553.93,493096,0.3154637839284845,3.54,41.0759477,28.9004553
Güngören,109635.9,283083,0.38729241953773275,4.091,41.0166667,28.8833333
Kadiköy,198561.54,485233,0.4092086482164239,3.133,40.980141,29.08227
Kağithane,153360.52,454550,0.337389770102299,6.177,41.071,28.97
Kartal,163375.7,480738,0.33984353223585406,16.176,40.899651,29.193649
Küçükçekmece,304250.88,805930,0.37751526807539115,3.469,41.008658,28.775342
Maltepe,174168.48,525566,0.33139221334713437,0.122,40.949047,29.174109
Pendi̇k,246721.13,741895,0.3325553211707856,4.973,40.879326,29.258135
Sancaktepe,162619.02,474668,0.34259528765368635,8.298,41.0287028,29.2901829
Sariyer,162873.49,349968,0.4653953790060805,4.257,41.166328,29.04995
Si̇li̇vri̇,102225.27,209014,0.48908336283693915,3.167,41.080158,28.26829
Sultanbeyli̇,127128.76,349485,0.3637602758344421,5.695,40.9611123,29.2669438
Sultangazi̇,184951.83,543380,0.34037290662151715,3.192,41.1255794,28.8713314
Şi̇le,38499.69,41627,0.9248730391332549,5.452,41.1763889,29.6127778
Şi̇şli̇,135149.56,284294,0.4753866068225147,2.105,41.06,28.987
Tuzla,136348.08,284443,0.4793511529550736,4.053,40.842,29.295
Ümrani̇ye,262269.8,726758,0.36087638526166893,1.136,41.0303,29.1065
Üsküdar,208304.12,525395,0.3964714548101904,7.503,41.032236,29.031938
Zeyti̇nburnu,132603.47,293839,0.4512793400467603,8.172,40.990635,28.89614
